,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
73399,37301,Lars Arne Frlander,M,26.0,184.0,83.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Freestyle,
73400,37301,Lars Arne Frlander,M,26.0,184.0,83.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
73401,37301,Lars Arne Frlander,M,26.0,184.0,83.0,Sweden,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Butterfly,Gold
73402,37301,Lars Arne Frlander,M,30.0,184.0,83.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
73403,37301,Lars Arne Frlander,M,34.0,184.0,83.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,
73404,37301,Lars Arne Frlander,M,34.0,184.0,83.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 100 metres Butterfly,
73405,37301,Lars Arne Frlander,M,34.0,184.0,83.0,Sweden,SWE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
73406,37301,Lars Arne Frlander,M,38.0,184.0,83.0,Sweden,SWE,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Butterfly,
73407,37302,Karl Folke Frln,M,44.0,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",
73408,37302,Karl Folke Frln,M,44.0,,,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
73409,37303,Nils Sture Vilhelm Frln,M,41.0,,,Sweden,SWE,1948 Summer,1948,Summer,London,Art Competitions,"Art Competitions Mixed Architecture, Unknown Event",
73500,37352,Lis Birgitta Magdalena Frost (-Danielsson),F,26.0,166.0,55.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 20 kilometres,
73501,37352,Lis Birgitta Magdalena Frost (-Danielsson),F,26.0,166.0,55.0,Sweden,SWE,1988 Winter,1988,Winter,Calgary,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
73502,37352,Lis Birgitta Magdalena Frost (-Danielsson),F,30.0,166.0,55.0,Sweden,SWE,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
73503,37352,Lis Birgitta Magdalena Frost (-Danielsson),F,30.0,166.0,55.0,Sweden,SWE,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
73504,37352,Lis Birgitta Magdalena Frost (-Danielsson),F,32.0,166.0,55.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
73509,37357,Walther Sigfrid Frstell,M,35.0,178.0,72.0,Sweden,SWE,1948 Summer,1948,Summer,London,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",
73510,37357,Walther Sigfrid Frstell,M,39.0,178.0,72.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",
73511,37357,Walther Sigfrid Frstell,M,39.0,178.0,72.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
73512,37357,Walther Sigfrid Frstell,M,39.0,178.0,72.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
73513,37357,Walther Sigfrid Frstell,M,47.0,178.0,72.0,Sweden,SWE,1960 Summer,1960,Summer,Roma,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
73553,37382,Nils Frykberg,M,24.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 1,500 metres",
73554,37382,Nils Frykberg,M,24.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Silver
73555,37383,Gtrik Wilhelm Adolf Frykman,M,20.0,,,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Football,Football Men's Football,
73556,37384,Karl Johan Fryksdahl,M,22.0,,,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's 100 metres,
73557,37384,Karl Johan Fryksdahl,M,22.0,,,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Standing High Jump,
73558,37384,Karl Johan Fryksdahl,M,22.0,,,Sweden,SWE,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Triple Jump,
74216,37690,Karl Christer Fursth,M,22.0,182.0,79.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,
74229,37701,Karin Margareta Furuhed (-Johansson),F,17.0,171.0,58.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
74230,37701,Karin Margareta Furuhed (-Johansson),F,21.0,171.0,58.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 50 metres Freestyle,
74231,37701,Karin Margareta Furuhed (-Johansson),F,21.0,171.0,58.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Freestyle,
74232,37701,Karin Margareta Furuhed (-Johansson),F,21.0,171.0,58.0,Sweden,SWE,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,
74356,37761,Sven Gte Grd,M,40.0,172.0,75.0,Sweden,SWE,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Running Target, 50 metres",
